snapshot,DK demand [MW],Battery charge [MW],DK solar generation [MW],DK onwind generation [MW],DK offwind generation [MW],DK gas CCGT generation [MW],DK coal generation [MW],DK nuclear generation [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-19 08:00:00,5369.7,0.0,160.05692295494927,0.0,3371.6421036774145,556.0308748941939,0.0,0.0,-301.0099671755195,483.9900328244806,1098.9900328244805
2016-01-19 09:00:00,5403.69,0.0,690.1184957310013,0.0,3430.8193354237396,556.0308748941939,0.0,0.0,-486.0929020163119,298.9070979836881,913.9070979836881
2016-01-19 10:00:00,5336.01,0.0,1489.9516100178635,0.0,3228.680561962236,556.0308748941939,0.0,0.0,-707.8843489580976,77.11565104190247,692.1156510419024
2016-01-19 11:00:00,5160.15,0.0,2031.5264452349625,0.0,3189.901868009455,556.0308748941939,0.0,0.0,-934.1030627128704,-149.1030627128704,465.8969372871297
2016-01-19 12:00:00,5110.84,0.0,2211.900890144701,0.0,3116.681853403153,556.0308748941939,0.0,0.0,-986.2578728140156,-201.25787281401577,413.7421271859843
2016-01-19 13:00:00,4972.38,0.0,1799.6809447064254,0.0,2793.955513364232,556.0308748941939,0.0,0.0,-787.4291109882839,-2.429110988283886,612.5708890117161
2016-01-19 14:00:00,4907.38,0.0,765.0675767197787,0.0,2766.5570562857447,556.0308748941939,0.0,0.0,-455.09183596657255,329.90816403342745,944.9081640334275
2016-01-19 15:00:00,5121.8,0.0,38.60329171409919,0.0,1818.1324096111514,556.0308748941939,0.0,0.0,174.67780792685187,959.6778079268519,1574.677807926852
2016-01-19 16:00:00,5654.47,0.0,0.22575024394210055,0.0,1827.4083762709522,556.0308748941939,0.0,0.0,361.93499953030386,1146.934999530304,1761.934999530304
2016-01-19 17:00:00,5459.5,0.0,0.22575024394210055,0.0,1680.2812384168815,0.0,0.0,0.0,531.3310037797255,1316.3310037797255,1931.3310037797257
2016-01-19 18:00:00,5125.21,0.0,0.0,0.0,1464.7009021566842,556.0308748941939,0.0,0.0,306.49274098304045,1091.4927409830404,1706.4927409830407
2016-01-19 19:00:00,4792.99,0.0,0.0,0.0,1038.564711577015,556.0308748941939,0.0,0.0,337.7981378429303,1122.7981378429304,1737.7981378429301
2016-01-19 20:00:00,4466.13,0.0,0.0,0.0,1026.8409203819883,556.0308748941939,0.0,0.0,232.7527349079393,1017.7527349079393,1632.7527349079394
2016-01-19 21:00:00,4146.92,0.0,0.0,0.0,771.0217843058933,556.0308748941939,0.0,0.0,211.62244693330433,996.6224469333043,1611.6224469333044
2016-01-19 22:00:00,3786.63,0.0,0.0,0.0,337.24151008990646,556.0308748941939,0.0,0.0,236.11920500529985,1021.1192050052999,1636.1192050052998
2016-01-19 23:00:00,3585.62,0.0,0.0,0.0,278.8372755652315,556.0308748941939,0.0,0.0,188.58394984685816,973.5839498468582,1588.583949846858
2016-01-20 00:00:00,3467.14,0.0,0.0,0.0,341.62182767925714,556.0308748941939,0.0,0.0,128.1624324755164,913.1624324755163,1528.1624324755164
2016-01-20 01:00:00,3419.92,0.0,0.0,0.0,478.22761446086827,556.0308748941939,0.0,0.0,66.88717021497935,851.8871702149794,1466.8871702149793
2016-01-20 02:00:00,3441.02,0.0,0.0,0.0,816.8862861238,556.0308748941939,0.0,0.0,-38.96572033933122,746.0342796606687,1361.0342796606687
2016-01-20 03:00:00,3532.29,0.0,0.0,0.0,958.1730005254035,556.0308748941939,0.0,0.0,-55.63795847319905,729.3620415268009,1344.362041526801
2016-01-20 04:00:00,3811.7,0.0,0.0,0.0,936.4431897390169,556.0308748941939,0.0,0.0,44.74197845559642,829.7419784555964,1444.7419784555964
2016-01-20 05:00:00,4466.24,0.0,0.22575024394210055,0.0,631.6675629584153,556.0308748941939,0.0,0.0,364.4386039678164,1149.4386039678163,1764.4386039678163
2016-01-20 06:00:00,5215.92,0.0,0.0,0.0,796.5736369104388,556.0308748941939,0.0,0.0,559.4384960651224,1344.4384960651225,1959.4384960651225
2016-01-20 07:00:00,5326.94,0.0,10.610261465278725,0.0,555.6561694961542,556.0308748941939,0.0,0.0,692.6435620090451,1448.4995660676668,2063.4995660676664
2016-01-20 08:00:00,5394.77,0.0,377.90590835907625,0.0,383.7931205492798,556.0308748941939,0.0,0.0,679.5104125223166,1391.264841837574,2006.264841837574
2016-01-20 09:00:00,5456.2,0.0,1292.8716470564098,0.0,316.5853065558118,556.0308748941939,0.0,0.0,368.57072383119447,1153.5707238311945,1768.5707238311945
2016-01-20 10:00:00,5385.6,0.0,2390.24358285896,0.0,252.7271471894944,0.0,0.0,0.0,185.8764233171819,970.8764233171819,1585.876423317182
2016-01-20 11:00:00,5237.52,0.0,3016.926260042231,0.0,354.2474489662089,0.0,0.0,0.0,-106.21790300281327,678.7820969971867,1293.7820969971867
2016-01-20 12:00:00,5199.31,0.0,2736.770207310085,0.0,489.39312988470317,0.0,0.0,0.0,-70.61777906492911,714.3822209350709,1329.3822209350708
2016-01-20 13:00:00,5122.82,0.0,2068.775235485409,0.0,588.9809386072925,0.0,0.0,0.0,93.35460863576606,878.3546086357661,1493.354608635766
2016-01-20 14:00:00,5028.72,0.0,874.7821952756395,0.0,777.9358150106528,0.0,0.0,0.0,397.0006632379027,1182.0006632379027,1797.0006632379025
2016-01-20 15:00:00,5183.71,0.0,59.146563912830345,0.0,982.1359143965568,0.0,0.0,0.0,652.4758405635378,1437.4758405635378,2052.475840563538
2016-01-20 16:00:00,5710.47,0.0,0.22575024394210055,0.0,1090.656135458214,556.0308748941939,0.0,0.0,795.9996983238628,1326.278770539894,1941.278770539894
2016-01-20 17:00:00,5536.08,0.0,0.0,0.0,1085.545764937305,556.0308748941939,0.0,0.0,569.8344533895006,1354.8344533895006,1969.8344533895008
2016-01-20 18:00:00,5199.59,0.0,0.0,0.0,959.4183849380619,556.0308748941939,0.0,0.0,499.71358005591503,1284.713580055915,1899.713580055915
2016-01-20 19:00:00,4897.22,0.0,0.0,0.0,675.6854603023799,556.0308748941939,0.0,0.0,493.50122160114216,1278.501221601142,1893.5012216011419
2016-01-20 20:00:00,4592.86,0.0,0.0,0.0,654.2133152565434,556.0308748941939,0.0,0.0,399.205269949754,1184.205269949754,1799.205269949754
2016-01-20 21:00:00,4231.63,0.0,0.0,0.0,502.3193612022967,556.0308748941939,0.0,0.0,329.42658796783667,1114.4265879678367,1729.426587967837
2016-01-20 22:00:00,3903.16,0.0,0.0,0.0,495.4482747876291,556.0308748941939,0.0,0.0,222.226950106059,1007.226950106059,1622.2269501060591
2016-01-20 23:00:00,3709.41,0.0,0.0,0.0,552.5212363194622,556.0308748941939,0.0,0.0,138.6192962621145,923.6192962621145,1538.6192962621144
2016-01-21 00:00:00,3592.99,0.0,0.0,0.0,649.4894433464594,556.0308748941939,0.0,0.0,67.48989391978235,852.4898939197823,1467.4898939197824
2016-01-21 01:00:00,3553.29,0.0,0.0,0.0,584.3000109873001,556.0308748941939,0.0,0.0,75.98637137283534,860.9863713728354,1475.9863713728353
2016-01-21 02:00:00,3569.03,0.0,0.0,0.0,541.3127766055356,556.0308748941939,0.0,0.0,95.56211616675687,880.5621161667568,1495.5621161667568
2016-01-21 03:00:00,3650.42,0.0,0.0,0.0,654.6857024475518,556.0308748941939,0.0,0.0,84.90114088608473,869.9011408860848,1484.9011408860847
2016-01-21 04:00:00,3922.84,0.0,0.0,0.0,448.0377785264223,556.0308748941939,0.0,0.0,244.59044885979463,1029.5904488597946,1644.5904488597946
2016-01-21 05:00:00,4580.36,0.0,0.0,0.0,438.28942467561257,556.0308748941939,0.0,0.0,467.0132334767308,1252.0132334767309,1867.0132334767309
2016-01-21 06:00:00,5328.33,0.0,0.0,0.0,473.7184640012426,556.0308748941939,0.0,0.0,764.5405537490951,1459.520053677741,2074.520053677741
2016-01-21 07:00:00,5539.9,0.0,31.379283907951972,0.0,376.6643683940621,556.0308748941939,0.0,0.0,711.7392566738986,1752.3469594559942,2111.7392566738986
