snapshot,DK demand [MW],Battery charge [MW],DK balance electricity [MW],DK balance battery charger [MW],DK balance solar [MW],DK balance offshore wind [MW],DK balance battery discharger [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-21 05:00:00,4580.36,1541.1891489306452,-4580.36,-1541.1891489306452,0.0,365.0131473843032,0.0,1479.660926644825,1830.9375374507583,2445.9375374507586
2016-01-21 06:00:00,5328.33,0.0,-5328.33,-0.0,0.0,394.51891326633825,1886.5740617906301,374.91781052483117,1050.1278632707658,1665.1278632707658
2016-01-21 07:00:00,5539.9,0.0,-5539.9,-0.0,40.37349953555134,313.6909970319149,2817.450009325345,88.38887591405735,864.5594613546054,1479.5594613546054
2016-01-21 08:00:00,5462.25,0.0,-5462.25,-0.0,856.8476520134998,280.4299518558026,1885.5562575690935,145.3192978815386,861.0050943058286,1476.0050943058286
2016-01-21 09:00:00,5437.97,0.0,-5437.97,-0.0,2616.7255921998712,469.8033219714097,524.7016302555111,35.75970937849935,593.9607115512697,1208.9607115512697
2016-01-21 10:00:00,5384.66,0.0,-5384.66,-0.0,4045.192287997292,536.1823540648121,0.0,-404.59518223861204,296.4402700882539,911.4402700882539
2016-01-21 11:00:00,5257.03,0.0,-5257.03,-0.0,4676.354982175372,467.37133157143586,0.0,-690.5654379156028,94.43456208439723,709.4345620843972
2016-01-21 12:00:00,5248.84,0.0,-5248.84,-0.0,4052.453708777068,575.2014941585095,0.0,-521.2717343118592,263.7282656881409,878.7282656881407
2016-01-21 13:00:00,5181.69,1468.0945816956837,-5181.69,-1468.0945816956837,2558.0533122992856,507.892583382764,0.0,466.2795620045444,1251.2795620045445,1866.2795620045447
2016-01-21 14:00:00,5111.18,0.0,-5111.18,-0.0,867.5945547675675,441.7996678070054,0.0,709.7923587968263,1238.4967093143007,1853.496709314301
2016-01-21 15:00:00,5279.72,0.0,-5279.72,-0.0,33.98344924934897,420.23363528959067,1801.0825960559087,451.6247093784991,999.3932115512695,1614.3932115512694
2016-01-21 16:00:00,5818.91,0.0,-5818.91,-0.0,0.2904568311910169,435.7912209364819,2571.725751611602,380.25503632463347,937.1887019704683,1552.1887019704698
2016-01-21 17:00:00,5632.73,0.0,-5632.73,-0.0,0.0,516.7621954297273,394.463329675429,875.1799413032834,1620.1510594384454,2235.1510594384454
2016-01-21 18:00:00,5259.67,0.0,-5259.67,-0.0,0.0,584.4287518525277,285.3771192851542,840.8241819191476,1470.2674203622412,2085.2674203622414
2016-01-21 19:00:00,4940.62,0.0,-4940.62,-0.0,0.0,784.3169039915509,0.0,863.3052002603522,1338.9989478740483,1953.9989478740479
2016-01-21 20:00:00,4633.19,0.0,-4633.19,-0.0,0.0,781.2053868621726,0.0,893.2930795426968,1171.8457667975654,1786.8457667975656
2016-01-21 21:00:00,4258.69,0.0,-4258.69,-0.0,0.0,967.1095942013466,0.0,901.7395277079032,887.4204390453748,1502.420439045375
2016-01-21 22:00:00,3918.38,0.0,-3918.38,-0.0,0.0,1278.5831882215207,0.0,932.0011292028599,546.3978412878097,1161.3978412878096
2016-01-21 23:00:00,3702.24,0.0,-3702.24,-0.0,0.0,1413.9878301965325,0.0,34.41738993448904,819.417389934489,1434.4173899344892
2016-01-22 00:00:00,3586.23,0.0,-3586.23,-0.0,0.0,1539.4856877481218,0.0,-46.08522924937401,738.914770750626,1353.914770750626
2016-01-22 01:00:00,3536.65,0.0,-3536.65,-0.0,0.0,1436.1618603139407,0.0,-28.17062010464687,756.8293798953531,1371.8293798953532
2016-01-22 02:00:00,3540.17,0.0,-3540.17,-0.0,0.0,1401.2914097260812,0.0,-15.373803242026922,769.626196757973,1384.626196757973
2016-01-22 03:00:00,3612.47,0.0,-3612.47,-0.0,0.0,1535.3369982422842,0.0,-35.95566608076152,749.0443339192385,1364.0443339192384
2016-01-22 04:00:00,3876.04,0.0,-3876.04,-0.0,0.0,1535.0151171599346,0.0,52.00829428002182,837.0082942800218,1452.0082942800218
2016-01-22 05:00:00,4532.03,0.0,-4532.03,-0.0,0.0,1647.9596124998943,0.0,233.0234625000352,1018.0234625000352,1633.0234625000353
2016-01-22 06:00:00,5265.35,0.0,-5265.35,-0.0,0.0,1747.599689769409,0.0,580.3295038158877,1161.210403207352,1776.210403207352
2016-01-22 07:00:00,5460.54,0.0,-5460.54,-0.0,27.832027066095357,1935.2563607791526,0.0,474.2898292969285,1204.0808914289125,1819.0808914289125
2016-01-22 08:00:00,5475.8,0.0,-5475.8,-0.0,565.338049780062,2049.416851319099,0.0,361.59070098344864,942.2271989586924,1557.2271989586923
2016-01-22 09:00:00,5450.29,0.0,-5450.29,-0.0,2009.7042877309686,2060.2892789895704,0.0,-268.2345222401797,516.7654777598203,1131.7654777598202
2016-01-22 10:00:00,5327.64,0.0,-5327.64,-0.0,3232.5739769475335,2141.152959788699,0.0,-743.695645578744,41.304354421255994,656.304354421256
2016-01-22 11:00:00,5116.48,0.0,-5116.48,-0.0,3724.273121781885,2391.3976190330623,0.0,-1061.3969136049825,-276.39691360498256,338.60308639501744
2016-01-22 12:00:00,4940.95,0.0,-4940.95,-0.0,3652.953552425016,2643.287448253878,0.0,-1180.0970002262982,-395.0970002262981,219.90299977370185
2016-01-22 13:00:00,4756.58,0.0,-4756.58,-0.0,2608.382786600624,2641.3203971950757,0.0,-892.7077279319,-107.70772793189992,507.29227206810003
2016-01-22 14:00:00,4696.74,0.0,-4696.74,-0.0,1057.3271115630184,2593.7892907014702,0.0,-379.792134088163,405.207865911837,1020.207865911837
2016-01-22 15:00:00,4908.32,0.0,-4908.32,-0.0,63.78172869313519,2828.3690706048255,0.0,-56.27693309932044,728.7230669006796,1343.7230669006794
2016-01-22 16:00:00,5471.83,0.0,-5471.83,-0.0,0.28991694860516,3061.124857708198,0.0,458.48573259403906,668.4647463745785,1283.4647463745785
2016-01-22 17:00:00,5304.2,0.0,-5304.2,-0.0,0.0,3682.569934030918,0.0,-187.78997801030604,597.2100219896939,1212.2100219896938
2016-01-22 18:00:00,4912.58,0.0,-4912.58,-0.0,0.0,3977.6991219806796,0.0,-416.7063739935599,368.2936260064401,983.29362600644
2016-01-22 19:00:00,4539.23,0.0,-4539.23,-0.0,0.0,4048.0837853210974,0.0,-564.617928440366,220.38207155963406,835.382071559634
2016-01-22 20:00:00,4277.4,0.0,-4277.4,-0.0,0.0,4025.337522168402,0.0,-644.3125073894674,140.6874926105326,755.6874926105326
2016-01-22 21:00:00,3997.42,0.0,-3997.42,-0.0,0.0,3963.0356504514257,0.0,-716.8718834838085,68.12811651619147,683.1281165161915
2016-01-22 22:00:00,3701.02,1374.6186066922887,-3701.02,-1374.6186066922887,0.0,3849.5904512055886,0.0,-319.6506148377666,465.3493851622334,1080.3493851622334
2016-01-22 23:00:00,3464.53,0.0,-3464.53,-0.0,0.0,3523.6322084796884,0.0,-748.0340694932294,36.9659305067706,651.9659305067706
2016-01-23 00:00:00,3323.16,0.0,-3323.16,-0.0,0.0,3018.565025708659,1343.3336814584602,-1474.3885983665984,540.6114016334017,-74.38859836659842
2016-01-23 01:00:00,3242.99,0.0,-3242.99,-0.0,0.0,2386.640931927231,0.0,-442.88364397574384,342.1163560242562,957.1163560242561
2016-01-23 02:00:00,3235.08,0.0,-3235.08,-0.0,0.0,1775.9609895808683,0.0,-241.96032986028948,543.0396701397106,1158.0396701397106
2016-01-23 03:00:00,3274.11,0.0,-3274.11,-0.0,0.0,1459.6591793254522,0.0,-123.51639310848405,661.4836068915159,1276.4836068915158
2016-01-23 04:00:00,3367.67,3866.950064301264,-3367.67,-3866.950064301264,0.0,1018.4675091184403,0.0,1343.7175183942747,2128.7175183942745,2743.717518394275
2016-01-23 05:00:00,3564.76,3866.950064301264,-3564.76,-3866.950064301264,0.0,679.920139616205,0.0,1522.2633082283526,2307.263308228353,2922.263308228353
2016-01-23 06:00:00,3917.24,3866.950064301264,-3917.24,-3866.950064301264,0.0,762.4289903917868,0.0,1612.2536913031586,2397.2536913031586,3012.2536913031586
2016-01-23 07:00:00,4260.78,2188.3283516264996,-4260.78,-2188.3283516264996,2.60925253744644,854.5227445084417,0.0,1135.6587848602037,1920.6587848602037,2535.658784860204
2016-01-23 08:00:00,4461.7,0.0,-4461.7,-0.0,30.151362654936637,952.7322391897367,0.0,431.272132718442,1216.272132718442,1831.272132718442
2016-01-23 09:00:00,4580.39,0.0,-4580.39,-0.0,93.64317439946667,841.0037390497638,3957.0075424352653,-1212.068992583498,802.931007416502,187.931007416502
2016-01-23 10:00:00,4615.2,0.0,-4615.2,-0.0,223.52596737457833,971.6516939189446,0.0,411.67411290215904,1196.674112902159,1811.6741129021593
2016-01-23 11:00:00,4488.41,0.0,-4488.41,-0.0,401.5349738181465,993.8972531657637,3957.0075424352653,-986.3240970950582,-201.32409709505805,413.6759029049419
2016-01-23 12:00:00,4397.37,0.0,-4397.37,-0.0,584.4725683880025,977.2309660130022,0.0,216.8888218663318,1001.8888218663318,1616.888821866332
2016-01-23 13:00:00,4299.46,0.0,-4299.46,-0.0,590.2709073601056,937.85418027225,0.0,195.44497078921478,980.4449707892148,1595.4449707892147
2016-01-23 14:00:00,4283.99,0.0,-4283.99,-0.0,324.9968993863843,913.9276864842724,0.0,286.68847137644775,1071.6884713764478,1686.6884713764478
2016-01-23 15:00:00,4496.42,0.0,-4496.42,-0.0,32.180781295172764,661.7875053105179,3957.0075424352653,-749.8327836356515,35.167216364348526,650.1672163643485
2016-01-23 16:00:00,5017.74,0.0,-5017.74,-0.0,0.0,899.2999795197239,0.0,644.4800068267585,1429.4800068267587,2044.4800068267584
2016-01-23 17:00:00,4912.93,0.0,-4912.93,-0.0,0.28991694860516,875.766895943507,0.0,1325.0202230352122,1048.4264820363378,1663.426482036338
2016-01-23 18:00:00,4537.33,0.0,-4537.33,-0.0,0.0,932.2749081781924,0.0,1312.8081992136918,838.6234463040581,1453.623446304058
2016-01-23 19:00:00,4198.46,0.0,-4198.46,-0.0,0.0,960.2785623425965,1604.328199702475,962.1559563919324,46.605082071418686,661.6050820714186
2016-01-23 20:00:00,3962.74,0.0,-3962.74,-0.0,0.0,1151.2971024346566,0.0,1368.0076506495752,414.21762345788386,1029.2176234578837
2016-01-23 21:00:00,3705.95,0.0,-3705.95,-0.0,0.0,1413.952065631827,0.0,35.66597812272413,820.6659781227241,1435.6659781227243
2016-01-23 22:00:00,3433.85,0.0,-3433.85,-0.0,0.0,1371.1061171146416,0.0,-40.7520390382139,744.2479609617861,1359.247960961786
2016-01-23 23:00:00,3235.84,0.0,-3235.84,-0.0,0.0,1367.8873062911468,0.0,-105.68243543038228,679.3175645696177,1294.3175645696178
2016-01-24 00:00:00,3100.36,0.0,-3100.36,-0.0,0.0,1349.6116137266379,0.0,-144.7505379088792,640.2494620911208,1255.2494620911207
